prediction;gold;sentence 
positive;positive;zusammen mit alice fã¤hrt er daraufhin zum teufel in die wã¼ste, und ich glaube, das pete da von anfang an wusste und nur retorisch gefragt hat.
negative;positive;gut, das die vampire nicht die sprache ihrer opfer sprechen.
positive;positive;hier kann e einfach keine ausfã¼hrliche und bi in kleinste detail erklã¤rbare geschichte geben.
negative;positive;die problematiken sind so vielschichtig realistisch dargestellt, das man mitgerissen wird.
positive;positive;ich fand die umsetzung der story ziemlich gut und auch wenn manche dialoge ziemlich unfreiwillig komisch waren, so hat der film mir im groãÿen und ganzen gut gefallen.
positive;positive;wunderschã¶ner film, in dem musikklassiker auf wunderbare art fã¼rs moulin rouge brauchbar gemacht wurden.
positive;positive;wow.
negative;positive;bei einem budget von gerade mal 26 millionen $, hat jackie chan einen wundervollen film inszeniert.
positive;positive;die ganze geschichte und da ganze system dahinter wurden schlã¼ssig und glaubhaft aufgebaut, wodurch man al zuschauer immer mit einem lã¤cheln denkt â€žach so lã¤uft da im kopfâ€œ.
positive;negative;da ende de film ist dann fã¼r mich auch ã¤uãÿert fragwã¼rdig und unlogisch.
positive;negative;da format bringt, insbesondere bei den einstellungen die die natur einfangen, ordentlich atmosphã¤re.
negative;positive;spannende intelligente handlung die einem zum nachdenken bringt
positive;negative;"""sunshine"" ist, wie man sich bei den namen vorstellen kann, kein ""armageddon""-rip-off und kreiert von beginn an eine bedrohung, die grade au der inszenierung de unmã¶glichen herrã¼hrt, dem flug der crew an eine grenze, die unmittelbare auseinandersetzung mit der eigenen sterblichkeit und nicht, da dy nicht in jedem durchschnittlichen krimi stattfindet, aber normalerweise hat man nicht da gefuehl, mit am abgrund zu stehen und den boden unter den fã¼ssen wackeln zu spã¼ren..."
negative;positive;spoiler: arnold schwarzenegger ist brutal, lieb und witzig zugleich!
positive;negative;da ende ist dann nur noch eine vorbereitung auch den 3.
positive;positive;jedoch mus man die art von filmen mã¶gen!
negative;positive;viel zu spã¤t erkennt scarlett den wert ihrer familie und ihres erbes, viel zu spã¤t erkennt sie ihre verbundenheit mit melanie wilkes, der ehefrau ihres unerreichbaren schwarms ashley, viel zu spã¤t begreift sie, das rhett butler die liebe ihres lebens ist.
positive;positive;die erste tolkien/jackson-trilogie ist umwerfend!
positive;positive;da 'drag me to hell' kein wirklicher horrorfilm ist sollte man schon wissen,denn der film setzt eigentlich alles auf grusel.zugegeben,gegruselt hab ich mich wã¤hrens de film eigentlich nie,gelangweilt aber genauso wenig.
positive;positive;die basis einer solchen herangehensweise ist bei burton da fantastische.
positive;negative;doch unter diesen kritikpunkten finden sich dann doch fast durchgã¤ngig auch ungeschliffene perlen.
negative;positive;fazit: polithriller der alten schule dessen themen alt sind, aber vorzã¼glich und mitreiãÿend umgesetzt wurden!
negative;positive;jede szene und einstellung wird mit so viel sorgfalt und liebe behandelt, das die gesamte spiellã¤nge de film zu einem einzigen genus fã¼r herz/seele und auge wird.
negative;positive;fã¼r mich ist alien neben odyssee 2001 der beste sci-fi film aller zeiten.
negative;positive;mein erster satz ist mir zweifellos formal miãÿglã¼ckt, du hast mich aber trotzdem verstanden.
negative;negative;leider sind die oben genannten dinge auch schon da einzige, wa mir an diesem film wirklich gefallen hat.
negative;negative;tja, wa soll man zu so einem film sagen...?
negative;negative;etwas ã¼bertrieben die darstellung dieser opferrolle, hab ich jackman nicht abgekauft.
negative;positive;wie waren diese nur mã¶glich?
negative;positive;the green mile ist ein meisterwerk!!!
positive;positive;da mã¶gen manche jetzt al minuspunkt sehen, mich hingegen stã¶rt da wenig.
positive;positive;besetzung war top.
negative;positive;natã¼rlich gibt e konkurrenz und vater-sohn-konflikte.
negative;positive;auf jeden fall unter den top 3 1.
negative;positive;sie konnten einfach nicht entkommen obwohl sie doch nur ihr leben leben wollten.
negative;positive;jodie foster bewies erneut wa fã¼r eine excellente schauspielerin sie ist.
positive;negative;wenn man den film jedoch sieht, wird einem die frage gleich beantwortet.
negative;negative;dabei mã¶chte ich auf die hervorragende kritik von phoenix0 verweisen, die den kern der sache 100%ig trifft.
negative;positive;fazit: der film ist das, wa ein mann braucht, wenn er einfach mal sein hirn abschalten will und sich an frau und action ergã¶tzen will.
positive;positive;einen mitfã¼hleffekt kann man auch anders lã¶sen.
positive;positive;(zum schluss: e ist schon fast beschã¤mend, mit welch unglaublicher ignoranz und dummheit einige leute hier filme bewerten.
positive;positive;mit dem stark von normalen krimis abweichenden ende, da fast schon katastrophenfilmszenarien heraufbeschwã¶rt scheint e lars kraume auf den ersten blick dann doch ein wenig zu ã¼bertreiben.
negative;positive;auf der einen seite die neugier und auf der anderen seite die tatsache das verfilmungen meistens vom buch oder so abweichen.
negative;positive;aber nicht nur deswegen ist er toll.
positive;positive;der ansatz de films, da schlachten in darfur au der perspektive eines menschen zu zeigen, der da grauen jederzeit verlassen kann, ist trotz seiner problematik gelungen: da geschehen wird deutlich, ohne das die opfer denunziert oder al staffage missbraucht werden.
positive;positive;"weniger wichtig finde ich die beschreibung de umfelds (prã¼gelnden vã¤ter und sprachlose mã¼tter gibt e ã¼berall), sondern vielmehr geht e vor allem um eine freundschaft; man lernt wieder einmal, wie leicht e ist, einen freund zu verletzen."
positive;positive;da waren nur 2 beispiele, sonst wã¼rde da hier ewig weiter gehen.
negative;positive;ich fã¼r meinen teil finde die filmemacher haben groãÿartiges geleistet.
negative;negative;am meisten jedoch verschenkt ist hier monica bellucci.
positive;positive;im gegensatz zu den anderen helden wie superman, batman oder flash (ausgenommen die alten zeichentrickfilme) glã¤nzt wonder woman mit einem neuen charme und leider altbekannter story, aber da lieãÿ sich nicht viel ã¤ndern, deshalb wird dy nicht al negativpunkt angekreidet.
negative;negative;thx...,1984 und etwas blade runner lassen grã¼ãÿen.
negative;negative;so miese dialoge da sie au jedem x-beliebigem c-movie ensprungen sein kã¶nnten.
positive;positive;mary poppins war (und ist) einer der berã¼hmtesten kinderfilme au dem hause disney au den 60er jahren.
positive;positive;confidential ist rein von der story her perfekt und ich finde auch man kann diesen gut anschauen, aber ich finde leider nicht, das der film mich total in einen bann gezogen hat.
negative;negative;nicht so dolle , nicht so coole , mehr enttã¤uschende fortsetzung de kult hit von 73.
negative;positive;erklã¤rungen?
negative;negative;wenn sie nicht ihren schwanz in der hand haben, haben sie eine waffe in der hand, wa aufs selbe hinauslã¤uft.
positive;positive;allerdings zieht sich der film streckenweise und e wird mir zu wenig wert auf den bã¶sen gelegt !
positive;positive;stellt euch einfach vor keanu reef und will smith spielen in den film mit und mit viel fantasy ist dieser film ein echter hinkuckter.
negative;positive;da leben de sechsjã¤hrigen mason (ellar coltrane), seine familie und deren probleme und sorgen werden fã¼r den zuschauer schnell ersichtlich, wa einen leichten und zeitigen einstieg in den film ermã¶glicht - dy ist bei insgesamt 163 minuten spielzeit bestimmt nicht ganz unrelevant.
negative;negative;die extrem schnellen schnitte in den kampfszenen haben mir nicht gefallen, die computeranimation beim kampf auf dem shuttle hatte computerspielniveau.
negative;positive;obwohl charly (logan lerman) noch im teenageralter ist, musste dieser junge schon einiges durchmachen.
positive;positive;der film ist echt schã¶n, e ist eine gut gelungene verbindung au komã¶die und lovestory.
positive;negative;da ganze amateurhaft aufgenommen und geschnitten und ohne jede handlung und ohne jeden sinn auf 160 minuten aufgeplustert.
negative;positive;absolut nicht.
negative;negative;au der story ergibt sich ã¼berhaupt nicht, das der mann ein kinderschã¤nder und kindermã¶rder ist.
negative;positive;ich konnte letzte nacht nicht schlafen!
positive;positive;wer jetzt denkt, nun weiãÿ ich bescheid und kann mir den film sparen, der irrt.
positive;negative;ok er hat jetzt nicht in da horrorszenario gepasst da er ein paar witzige, coole sprã¼che drauf hatte.
negative;positive;9 von 10 punkten!!
negative;positive;"asghar farhadis ""the past"" und abdellatif kechichs ""blau ist eine warme farbe"""" waren z.b. einfach noch ein stã¼ck raffinierter."
positive;positive;fazit: sehr spannender und genial inszenierter thriller, welcher auf historischen gegebenheiten basiert.
positive;positive;der film ist zwar ziemlich lang, aber da merkt man nicht, weil die geschichte gut erzã¤hlt wird.
positive;negative;aber fataler noch ist, das nicht eine einzige neue idee in diesen film eingebracht wurde.
negative;negative;diese kommt im viel nicht zu kurz und vor allem am anfang vergeht keine sekunde, wo kein gag gerissen wird.
positive;positive;der film konfrontiert einen mit dem sterben und da gefã¤llt natã¼rlich nicht jedem.
negative;negative;nicolas cage hatte man in den vergangenen jahren bereits viele schlechte rollen beschert.
positive;positive;der film hat mir richtig gut gefallen.
positive;positive;ein unkorrumpierbarer kommissar (paul giamatti) droht von den mã¼hlen der staatsmacht zermalen zu werden.
positive;positive;jeder von un vollgefressenen, vom leben ã¼ber die massen verwã¶hnten europã¤ern sollte sich diesen film anschauen ... eigentlich sollte er pflichtmaterial in der schule sein.
negative;positive;irgendwie witzig und nettte idee al jean claude selber zu spielen.
positive;positive;okay hab den film vor ein paar tagen gesehen und finde in sehr gut,aber wenn ich hã¶re man kann den film mit bube damme kã¶nig grass vergleichen stimmt da gar nicht weil layer cake keine komedie ist wie bume dame kã¶nig grass die filme haben nix miteinander.der film ist sehr spanned und sehr gut gemacht vor allem da ende ist gut.guckt ihn euch an kann man nix falsch machen
negative;positive;stattdessen nahm tarantino einen roman zur hand und schrieb elmore leonard krimi â€žrum punchâ€œ (erschien 1992) in ein drehbuch um, welches zu einer huldigung einer seiner persã¶nlichen heldinnen werden sollte: blaxploitation-ikone pam grier.
positive;positive;und man kann nachvollziehen, warum ein 3.
positive;positive;ich hab mit vivien leigh, die scarlett o'hara spielt, ein interview gelesen.
negative;positive;spoiler zum ende: spoiler: trotz das ich kein fan bin von offenen enden(fã¼r mich hat er mehr oder weniger ein offenes ende) , mus ich sagen, das dieser film einer der besten aller zeiten ist.
negative;positive;und wenn damals die befã¶lkerung den tot jesu wollte, und sie nun mal jã¼disch war, hat dy nichts mit antisemitismus zu tun.
negative;positive;wa wã¤re da rausgekommen?
negative;negative;sorry aber da ist da unrealistischste szenario wa ich jeh in einem u kriegs film gesehen habe !
positive;negative;den inhalt mus man sich selber zusammen reimen.
positive;negative;da drama, da durch die trã¤ume vor allem fã¼r unseren hauptcharakter jessie (kate bosworth) entsteht, die diese sowohl al heilung verwendet, al auch daran zerbricht, war dabei ebenso nachvollziehbar, wie eine gute idee.
negative;positive;jackson bietet nun nochmal alle mittel auf um beeindruckende bilder auf die leinwand zu zaubern und den zuschauer bi zum ende zittern zu lassen.
negative;positive;dazu tragen auch gute hauptdarsteller bei.
negative;positive;ein spaãÿ fã¼r jung und alt.
negative;positive;der vorspann kam - oh gott, ein franzã¶sischer film in den 70er jahren, da kann wa werden.
positive;positive;einfach stark!
positive;positive;ich finde den film sehr gut gemacht, besonders die szenen im kapitol waren gut in szene gesetzt.
negative;positive;spoiler: arrival greift im grunde da auf, wa interstellar 2014 versucht hat zu beschreiben, nã¤mlich, das die zeit (einigen theorien nach) nicht immer so verlã¤uft, wie wir sie auf der erde wahrnehmen.
positive;positive;ich habe grade black rain da zweite mal gesehen und fand den film immer noch so gut wie vor einem jahr.
negative;positive;auch die schauspielerleistungen sind allesamt ã¼berzeugend, vor allem von justin timberlake.
positive;negative;da wars.
